,mills,OPEX,CAPEX,logistic,profit,additional costs,et,etmk,etsaf,etpc,etref,eta,etr,j1,j2,sug,el,SAF,SAF ref,SAF air,g,d,objective,sc cost,individual profit,capacity,incentives,payment
110,Cucau,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
111,Da Mata,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
112,Da Pedra,839847933.6,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,3619626.86,50373.14046,445214.1037,266000,0,0,0,0,0,2.38E+11,2.38E+11,968920661.8,5000000,0,0
113,Dacalda,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
114,DAMFI,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
115,Dasa,325398872,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
116,Della Coletta,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
117,Delta - Unidade Delta,839847933.6,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,3619626.86,50373.14046,445214.1037,266000,0,0,0,0,0,2.38E+11,2.38E+11,968920661.8,5000000,0,0
118,Delta - Unidade Volta Grande,839847933.6,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,3619626.86,50373.14046,445214.1037,266000,0,0,0,0,0,2.38E+11,2.38E+11,968920661.8,5000000,0,0
119,Denusa,325398872,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
120,Destilaria Alternativa,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
121,Diana,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
122,D'Pádua,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
123,Eldorado,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
124,Energética Serranópolis,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
125,Engenho Meneghetti,162699436,0,0,1.25E+11,94439190881,90282,0,0,0,90282,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
126,Ester,503908760.2,0,0,1.25E+11,94439190881,108338.4,0,0,0,108338.4,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
127,ETH - Conquista do Pontal,839847933.6,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,3619626.86,50373.14046,445214.1037,266000,0,0,0,0,0,2.38E+11,2.38E+11,968920661.8,5000000,0,0
128,ETH - UNIDADE COSTA RICA,650797744,0,0,1.25E+11,94439190881,361128,361128,0,0,0,0,0,0,2936000,0,212800,0,0,0,0,0,2.38E+11,2.38E+11,243292112.6,4000000,0,0
129,ETH BIOENERGIA,813497180,0,0,1.25E+11,94439190881,451410,451410,0,0,0,0,0,0,3670000,0,266000,0,0,0,0,0,2.38E+11,2.38E+11,304115140.8,5000000,0,0
130,Fátima do Sul Agroenergética,325398872,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
131,Ferrari / São Marino,1056805872,62878696.51,38345977.35,1.25E+11,94439190881,144451.2,0,144451.2,934683.9976,0,0,0,2895701.488,40298.51237,356171.283,212800,442445.431,442445.431,0,75539.46383,120863.1421,2.38E+11,2.38E+11,775136529.4,4000000,1124790344,2.542212588
132,Figueira - Alcoazul,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
133,Figueira - Generalco,325398872,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
134,Floresta,325398872,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
135,Frutal Açúcar e Álcool,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
136,Furlan,335939173.4,0,0,1.25E+11,94439190881,72225.6,0,0,0,72225.6,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
137,Goianésia,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
138,Goiasa,839847933.6,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,3619626.86,50373.14046,445214.1037,266000,0,0,0,0,0,2.38E+11,2.38E+11,968920661.8,5000000,0,0
139,Grizzo,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
140,Guaíra,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
141,Guarani - Unidade Cruz Alta,923832727,0,0,1.25E+11,94439190881,198620.4,198620.4,0,0,0,0,0,3981589.545,55410.45451,489735.5141,292600,0,0,0,0,0,2.38E+11,2.38E+11,1065812728,5500000,0,0
142,Guarani - Unidade Mandu Guaíra,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
143,Guarani - Unidade Severinia,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
144,Guarani - Unidade Tanabi,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
145,Guariroba,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
146,Iacanga,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
147,IACO,488098308,0,0,1.25E+11,94439190881,270846,270846,0,0,0,0,0,0,2202000,0,159600,0,0,0,0,0,2.38E+11,2.38E+11,182469084.5,3000000,0,0
148,Ibaiti,325398872,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
149,Ibéria,325398872,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
150,Ibirá,167969586.7,0,0,1.25E+11,94439190881,36112.8,0,0,0,36112.8,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
151,IMCOPA,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
152,Interlagos,488098308,0,0,1.25E+11,94439190881,270846,270846,0,0,0,0,0,0,2202000,0,159600,0,0,0,0,0,2.38E+11,2.38E+11,182469084.5,3000000,0,0
153,Ipê,325398872,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
154,Ipiranga,335939173.4,0,0,1.25E+11,94439190881,72225.6,0,0,0,72225.6,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
155,Ipiranga II - Santo Alexandre,335939173.4,0,0,1.25E+11,94439190881,72225.6,0,0,0,72225.6,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
156,Ipojuca,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
157,Iracema,503908760.2,0,0,1.25E+11,94439190881,108338.4,0,0,0,108338.4,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
158,Irmãos Malosso,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
159,Itajobi,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
160,Itajubara,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
161,Itamarati,923832727,0,0,1.25E+11,94439190881,198620.4,198620.4,0,0,0,0,0,3981589.545,55410.45451,489735.5141,292600,0,0,0,0,0,2.38E+11,2.38E+11,1065812728,5500000,0,0
162,Itapagipe,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
163,Ituiutaba,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
164,Itumbiara,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
165,Jacarezinho,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
166,Jalles Machado,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
167,Jalles Machado - Otávio Lage,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
168,Jatiboca,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
169,Jayoro,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
170,José Granelli,167969586.7,0,0,1.25E+11,94439190881,36112.8,0,0,0,36112.8,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
171,Junco Novo,162699436,0,0,1.25E+11,94439190881,90282,0,0,0,90282,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
172,Lago Azul,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
173,Laguna,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
174,Lasa,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
175,Liberdade,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
176,Londra,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
177,Lopes da Silva,162699436,0,0,1.25E+11,94439190881,90282,0,0,0,90282,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
178,Luso,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
179,Maity Bioenergia,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
180,Mandacaru,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
181,Marituba,167969586.7,0,0,1.25E+11,94439190881,36112.8,0,0,0,36112.8,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
182,Melhoramento Ivaí,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
183,Miriri,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
184,Moema,839847933.6,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,3619626.86,50373.14046,445214.1037,266000,0,0,0,0,0,2.38E+11,2.38E+11,968920661.8,5000000,0,0
185,Monte Alegre - Monte Belo,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
186,Monte Alegre,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
187,Monterey,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
188,Monteverde,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
189,Moreno,503908760.2,0,0,1.25E+11,94439190881,108338.4,0,0,0,108338.4,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
190,Nardini,671878346.9,0,0,1.25E+11,94439190881,144451.2,144451.2,0,0,0,0,0,2895701.488,40298.51237,356171.283,212800,0,0,0,0,0,2.38E+11,2.38E+11,775136529.4,4000000,0,0
191,Nova Era,162699436,0,0,1.25E+11,94439190881,90282,62210.12683,0,0,28071.87317,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
192,Nova Gália,325398872,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
193,Nova Londrina - Ex Copagra,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
194,Nova Moreno,488098308,0,0,1.25E+11,94439190881,270846,270846,0,0,0,0,0,0,2202000,0,159600,0,0,0,0,0,2.38E+11,2.38E+11,182469084.5,3000000,0,0
195,Nova Produtiva,325398872,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,0,1468000,0,106400,0,0,0,0,0,2.38E+11,2.38E+11,121646056.3,2000000,0,0
196,Novo Milênio - Un. Lambari,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
197,Novo Milênio - Un. Mirassol,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
198,Ouroeste,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
199,Pagrisa,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
200,Paineiras,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
201,Panorama,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
202,Paraiso,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
203,Pederneiras,167969586.7,0,0,1.25E+11,94439190881,36112.8,0,0,0,36112.8,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
204,Pedro Afonso - Bunge,488098308,0,0,1.25E+11,94439190881,270846,270846,0,0,0,0,0,0,2202000,0,159600,0,0,0,0,0,2.38E+11,2.38E+11,182469084.5,3000000,0,0
205,Penedo (Paisa),162699436,0,0,1.25E+11,94439190881,90282,0,0,0,90282,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
206,Perolândia - Brenco,650797744,0,0,1.25E+11,94439190881,361128,361128,0,0,0,0,0,0,2936000,0,212800,0,0,0,0,0,2.38E+11,2.38E+11,243292112.6,4000000,0,0
207,Petribú,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
208,Pindorama,167969586.7,0,0,1.25E+11,94439190881,36112.8,0,0,0,36112.8,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
209,Pinheiro,167969586.7,0,0,1.25E+11,94439190881,36112.8,0,0,0,36112.8,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
210,Pioneiros,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
211,Pitangueiras,503908760.2,0,0,1.25E+11,94439190881,108338.4,0,0,0,108338.4,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
212,Porto Alegre,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
213,Porto das Águas & Associados,894846898,0,0,1.25E+11,94439190881,496551,496551,0,0,0,0,0,0,4037000,0,292600,0,0,0,0,0,2.38E+11,2.38E+11,334526654.9,5500000,0,0
214,Porto Rico,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
215,Pyles,162699436,0,0,1.25E+11,94439190881,90282,90282,0,0,0,0,0,0,734000,0,53200,0,0,0,0,0,2.38E+11,2.38E+11,60823028.16,1000000,0,0
216,Quatá,503908760.2,0,0,1.25E+11,94439190881,108338.4,108338.4,0,0,0,0,0,2171776.116,30223.88428,267128.4622,159600,0,0,0,0,0,2.38E+11,2.38E+11,581352397.1,3000000,0,0
217,RAIZEN - Barra,923832727,0,0,1.25E+11,94439190881,198620.4,198620.4,0,0,0,0,0,3981589.545,55410.45451,489735.5141,292600,0,0,0,0,0,2.38E+11,2.38E+11,1065812728,5500000,0,0
218,RAIZEN - Benálcool,167969586.7,0,0,1.25E+11,94439190881,36112.8,36112.8,0,0,0,0,0,723925.3719,10074.62809,89042.82074,53200,0,0,0,0,0,2.38E+11,2.38E+11,193784132.4,1000000,0,0
219,RAIZEN - Bom Retiro,335939173.4,0,0,1.25E+11,94439190881,72225.6,0,0,0,72225.6,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
220,RAIZEN - Bonfim,839847933.6,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,3619626.86,50373.14046,445214.1037,266000,0,0,0,0,0,2.38E+11,2.38E+11,968920661.8,5000000,0,0
221,RAIZEN - Caarapó S/A Açúcar e álcool,839847933.6,0,0,1.25E+11,94439190881,180564,180564,0,0,0,0,0,3619626.86,50373.14046,445214.1037,266000,0,0,0,0,0,2.38E+11,2.38E+11,968920661.8,5000000,0,0
222,RAIZEN - Costa Pinto,1422497180,84790408.75,50068727.72,1.25E+11,94439190881,451410,0,451410,1255907.073,0,0,0,0,3670000,0,266000,700000,700000,0,119512.1951,191219.5122,2.38E+11,2.38E+11,304115140.8,5000000,1754258771,2.506083959
223,RAIZEN - Destivale,335939173.4,0,0,1.25E+11,94439190881,72225.6,72225.6,0,0,0,0,0,1447850.744,20149.25618,178085.6415,106400,0,0,0,0,0,2.38E+11,2.38E+11,387568264.7,2000000,0,0
